propId,address,bedrooms,bed_string,bathrooms,bath_string
1655-101913,477 Sunrise Court Tahoma CA,5,"3 Queen, 6 Twin, 2 Bunk",4,4
1655-102324,11869 Schussing Way Truckee CA,4,"1 King, 1 Queen, 1 Bunk, 2 Other, 2 Full",3,3
1655-112944,10269 Palisades Drive #2 Truckee CA,3,"1 King, 1 Queen, 1 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-117677,11769 Tundra Drive Truckee CA,4,"1 King, 2 Queen, 8 Twin, 4 Bunk",3,3
1655-126036,13345 Falcon Point Pl Truckee CA,3,"1 King, 1 Queen, 2 Twin, 1 Other",2.5,2.5
1655-124833,6030 Mill Camp Truckee CA,2,2 Queen,2,2
1655-110074,4070 Walnut Avenue Homewood CA,5,"1 King, 3 Queen, 2 Twin, 1 Bunk",3,3
1655-104908,11979 Lausanne Way Truckee CA,3,"2 Queen, 2 Twin, 1 Bunk, 1 Full",2,2
1655-117873,11661 Snowpeak Way Unit 518 Truckee CA,3,"1 Queen, 6 Twin",2,2
1655-116848,"10277 Palisades Drive, #3 Truckee CA",3,"1 King, 1 Queen, 1 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-115705,400 Squaw Creek Road #556-558-560 Squaw Valley CA,3,"2 King, 2 Queen, 1 Sofa Bed",3,3
1655-128068,11387 Chamonix Rd Truckee CA,3,"2 King, 1 Queen, 1 Full",2.5,2.5
1655-130271,11731 Ski Slope Way Truckee CA,4,"1 Queen, 1 Sofa Bed, 2 Bunk, 2 Full",3.5,3.5
1655-118885,565 High St Carnelian Bay CA,4,"2 Queen, 3 Twin, 1 Full",3,3
1655-108589,3107 Aspen Grove Truckee CA,4,"1 Queen, 6 Twin",2,2
1655-115430,12440 Rainbow Dr Truckee CA,3,"1 King, 1 Queen, 3 Twin, 1 Bunk",2,2
1655-115438,3630 Lynwood Drive Carnelian Bay CA,3,"1 King, 2 Queen",2,2
1655-104909,12395 Viking Way Truckee CA,3,"1 King, 1 Queen, 2 Twin, 1 Other",2.5,2.5
1655-117547,145 Cherry St Homewood CA,4,"1 King, 1 Queen, 1 Other, 1 Full",3,3
1655-122471,400 Squaw Creek Road #560 Olympic Valley CA,1,"1 King, 1 Sofa Bed",1,1
1655-104300,8166 Cutthroat Ave Kings Beach CA,3,"1 King, 2 Queen, 1 Other",2.5,2.5
1655-107903,636 Lariat Circle Incline Village NV,5,"4 King, 2 Twin, 1 Sofa Bed",4.5,4.5
1655-107703,144 Chipmunk #1 Kings Beach CA,4,"1 King, 3 Queen, 2 Twin, 2 Bunk",4.5,4.5
1655-103117,11971 Lamplighter Way Truckee CA,4,"3 Queen, 4 Twin, 2 Bunk",3.5,3.5
1655-125754,5630 Dodowah Rd Carnelian Bay CA,5,"1 King, 3 Queen, 6 Twin, 4 Other",2.5,2.5
1655-109804,12927 Hansel Ave Truckee CA,5,"3 Queen, 2 Twin, 2 Bunk, 2 Full",2,2
1655-122465,400 Squaw Creek Road #556 Olympic Valley CA,1,2 Queen,1,1
1655-129842,4175 Robert Ave Carnelian Bay CA,3,"1 Queen, 1 Twin, 3 Full",1.5,1.5
1655-106049,12254 Richards Boulevard Truckee CA,4,"1 King, 2 Queen, 2 Twin, 1 Full",3,3
1655-120563,14047 Pathway Ave Truckee CA,4,"1 King, 2 Queen, 1 Bunk, 3 Full",3,3
1655-122917,11981 Sitzmark Way Truckee CA,3,"1 King, 1 Queen, 1 Bunk, 1 Other",2,2
1655-124779,6069 Rocky Point Circle Truckee CA,3,"2 Queen, 2 Twin",2,2
1655-119290,1411 Pine Trail Alpine Meadows CA,3,"1 King, 1 Queen, 5 Twin",2,2
1655-113109,"11796 Euer Valley Road, House Truckee CA",3,"3 Queen, 1 Other",3,3
1655-117441,16507 Northwoods Blvd. Truckee CA,4,"2 King, 4 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-113168,13996 Ski View Loop Truckee CA,3,"1 Queen, 3 Twin, 2 Full",2,2
1655-124480,14106 Northwoods Blvd Truckee CA,3,"1 King, 1 Queen, 2 Twin",2.5,2.5
1655-115961,13581 Pathway Truckee CA,4,"1 King, 2 Queen, 2 Full",2,2
1655-131166,2780 Lake Terrace Avenue Tahoe City CA,4,"1 Queen, 2 Twin, 1 Bunk, 1 Full",2,2
1655-101788,"599 Crest Lane, #45 Incline Village NV",3,"2 Queen, 3 Twin",2,2
1655-131836,"9001 Northstar Drive, Unit 408 Truckee CA",3,"2 King, 1 Twin, 2 Bunk",3,3
1655-117298,11334 Zermatt Drive Truckee CA,3,"2 Queen, 3 Twin, 1 Sofa Bed, 1 Bunk",2,2
1655-102170,2770 Lake Terrace Tahoe City CA,3,"2 King, 2 Twin, 1 Sofa Bed, 1 Full",4,4
1655-111548,15531 Waterloo Circle Truckee CA,6,"2 Queen, 5 Twin, 2 Bunk, 2 Full",4,4
1655-130322,"10583 Boulders Rd #Bldg 2 Unit 3, Truckee CA",2,2 Queen,2,2
1655-125958,8308 North Lake Blvd #9 Kings Beach CA,3,"1 King, 1 Queen, 1 Bunk",3,3
